date,temperature,humidity,luminosity
2022-11-17 15:04:51.232,25.6,36.9,1865
2022-11-17 15:04:46.188,25.7,36.9,1859
2022-11-17 15:04:41.145,25.7,36.7,1867
2022-11-17 15:04:36.103,25.7,36.6,1863
2022-11-17 15:04:31.059,25.7,36.6,1867
2022-11-17 15:04:26.016,25.7,36.7,1862
2022-11-17 15:04:20.973,25.7,36.7,1863
2022-11-17 15:04:15.930,25.8,36.7,1864
2022-11-17 15:04:10.887,25.8,36.6,1861
2022-11-17 15:04:05.844,25.8,36.6,1863
2022-11-17 15:04:00.801,25.8,36.6,1867
2022-11-17 15:03:55.757,25.8,36.6,1860
2022-11-17 15:03:50.714,25.8,36.7,1858
2022-11-17 15:03:45.671,25.8,36.6,1866
2022-11-17 15:03:40.627,25.8,36.8,1862
2022-11-17 15:03:35.584,25.8,36.8,1858
2022-11-17 15:03:30.541,25.8,36.8,1866
2022-11-17 15:03:25.498,25.8,36.7,1860
2022-11-17 15:03:20.455,25.8,36.8,1862
2022-11-17 15:03:15.411,25.8,36.6,1862
2022-11-17 15:03:10.368,25.9,36.5,1853
2022-11-17 15:03:05.325,25.9,36.4,1862
2022-11-17 15:03:00.283,25.8,36.3,1857
2022-11-17 15:02:55.240,25.9,36.2,1855
2022-11-17 15:01:39.629,26.0,36.3,1868
2022-11-17 15:01:34.585,26.1,36.1,1873
2022-11-17 15:01:29.541,26.1,36.1,1869
2022-11-17 15:01:24.499,26.0,36.2,1871
2022-11-17 15:01:19.455,26.1,36.2,1873
2022-11-17 15:01:14.411,26.1,36.0,1891
2022-11-17 15:01:09.368,26.1,35.7,1890
2022-11-17 15:01:04.324,26.1,35.6,1887
2022-11-17 15:00:59.281,26.1,35.5,1892
2022-11-17 15:00:54.238,26.2,35.7,1877
2022-11-17 15:00:49.196,26.2,35.8,1888
2022-11-17 15:00:44.153,26.2,35.9,1883
2022-11-17 15:00:39.110,26.3,35.8,1887
2022-11-17 15:00:34.067,26.2,35.7,1887
2022-11-17 15:00:29.024,26.3,35.8,1886
2022-11-17 15:00:23.981,26.3,35.6,1890
2022-11-17 15:00:18.937,26.4,35.7,1884
2022-11-17 15:00:13.893,26.4,35.7,1885
2022-11-17 15:00:08.850,26.4,35.8,1885
2022-11-17 15:00:03.806,26.5,35.7,1885
2022-11-17 14:59:58.762,26.4,35.9,1891
2022-11-17 14:59:53.719,26.5,35.8,1887
2022-11-17 14:59:48.677,26.5,35.8,1871
2022-11-17 14:59:43.634,26.5,35.7,1881
2022-11-17 14:59:38.590,26.6,35.6,1889
2022-11-17 14:59:33.546,26.6,35.6,1885
2022-11-17 14:59:28.502,26.7,35.6,1889
2022-11-17 14:59:23.458,26.7,35.4,1881
2022-11-17 14:59:18.415,26.7,35.3,1876
2022-11-17 14:59:13.372,26.7,35.3,1878
2022-11-17 14:53:52.437,aa19,0.4,0.2
2022-11-17 14:53:50.331,aa19,0.4,0.2
2022-11-17 14:53:48.225,aa19,0.2,0.9
2022-11-17 14:53:46.118,aa19,0.3,0.5
2022-11-17 14:53:44.013,aa19,0.2,0.6
2022-11-17 14:53:41.907,aa19,-0.1,0.5
2022-11-17 14:53:39.800,aa19,0.0,0.4
2022-11-17 14:53:37.693,aa19,0.0,0.5
2022-11-17 14:53:35.587,aa19,0.0,0.1
2022-11-17 14:53:33.480,aa19,-0.8,-0.2
2022-11-17 14:53:31.373,aa19,0.3,0.1
2022-11-17 14:53:29.266,aa19,0.0,-0.0
2022-11-17 14:53:27.160,aa19,0.0,-0.0
2022-11-17 14:53:25.053,aa19,0.0,-0.0
2022-11-17 14:53:22.946,aa19,0.0,-0.0
2022-11-17 14:53:20.839,aa19,0.0,-0.0
2022-11-17 14:53:18.732,aa19,0.0,-0.0
2022-11-17 14:53:16.623,aa19,0.4,-0.7
2022-11-17 14:53:14.515,aa19,-0.3,0.1
2022-11-17 14:53:12.408,aa19,-0.5,0.1
2022-11-17 14:53:10.300,aa19,-0.2,-0.0
2022-11-17 14:53:08.192,aa19,-0.3,0.0
2022-11-17 14:53:06.084,aa19,-0.3,-0.1
2022-11-17 14:53:03.976,aa19,-0.2,-0.3
2022-11-17 14:53:01.869,aa19,-0.3,-0.3
2022-11-17 14:52:59.762,aa19,-0.5,0.1
2022-11-17 14:52:57.654,aa19,-0.2,0.5
2022-11-17 14:52:55.546,aa19,-0.1,0.6
2022-11-17 14:52:53.438,aa19,-0.5,0.5
2022-11-17 14:52:51.331,aa19,-0.5,0.4
2022-11-17 14:52:49.224,aa19,-0.4,0.1
2022-11-17 14:52:47.116,aa19,-0.4,0.2
2022-11-17 14:52:45.010,aa19,-0.4,0.1
2022-11-17 14:52:42.902,aa19,-0.4,0.0
2022-11-17 14:52:40.794,aa19,-0.6,0.2
2022-11-17 14:52:38.687,aa19,-0.3,0.3
2022-11-17 14:52:36.580,aa19,-0.4,0.1
2022-11-17 14:52:34.473,aa19,-0.4,0.1
2022-11-17 14:52:32.365,aa19,-0.5,-0.0
2022-11-17 14:52:30.257,aa19,-0.4,-0.2
2022-11-17 14:52:28.151,aa19,-0.2,-0.1
2022-11-17 14:52:26.045,aa19,-0.5,0.3
2022-11-17 14:52:23.939,aa19,0.0,-0.0
2022-11-17 14:52:21.831,aa19,0.0,-0.0
2022-11-17 14:52:19.723,aa19,0.0,-0.0
2022-11-17 14:52:17.616,aa19,0.0,-0.0
2022-11-17 14:52:15.510,aa19,0.0,-0.0
2022-11-17 14:52:13.404,aa19,0.0,-0.0
2022-11-17 14:52:11.296,aa19,0.0,-0.0
2022-11-17 14:52:09.189,aa19,0.0,-0.0
2022-11-17 14:52:07.082,aa19,0.0,-0.0
2022-11-17 14:52:04.975,aa19,0.0,-0.0
2022-11-17 14:52:02.869,aa19,0.0,-0.0
2022-11-17 14:52:00.762,aa19,0.0,-0.0
2022-11-17 14:51:58.655,aa19,0.0,-0.0
2022-11-17 14:51:56.549,aa19,0.0,-0.0
2022-11-17 14:51:54.442,aa19,0.0,-0.0
2022-11-17 14:51:52.335,aa19,0.0,-0.0
2022-11-17 14:51:50.228,aa19,0.0,-0.0
2022-11-17 14:51:48.121,aa19,0.0,-0.0
2022-11-17 14:51:46.013,aa19,0.0,-0.0
2022-11-17 14:51:43.906,aa19,0.0,-0.0
2022-11-17 14:51:41.800,aa19,0.1,0.1
2022-11-17 14:51:39.694,aa19,-0.0,0.0
2022-11-17 14:51:37.586,aa19,0.0,-0.0
2022-11-17 14:51:35.478,aa19,0.0,-0.0
2022-11-17 14:51:33.372,aa19,0.0,-0.0
2022-11-17 14:51:31.265,aa19,0.0,-0.0
2022-11-17 14:51:29.158,aa19,0.0,-0.0
2022-11-17 14:51:27.051,aa19,0.0,-0.0
2022-11-17 14:51:24.944,aa19,0.0,-0.0
2022-11-17 14:51:22.836,aa19,0.0,-0.0
2022-11-17 14:51:20.728,aa19,0.0,-0.0
2022-11-17 14:51:18.621,aa19,0.0,-0.0
2022-11-17 14:51:16.513,aa19,0.0,-0.0
2022-11-17 14:51:14.405,aa19,0.0,-0.0
2022-11-17 14:51:12.299,aa19,0.0,-0.0
2022-11-17 14:51:10.191,aa19,0.0,-0.0
2022-11-17 14:51:08.084,aa19,0.0,-0.0
2022-11-17 14:51:05.976,aa19,0.0,-0.0
2022-11-17 14:51:03.868,aa19,0.0,-0.0
2022-11-17 14:51:01.760,aa19,0.0,-0.0
2022-11-17 14:50:59.652,aa19,0.0,-0.0
2022-11-17 14:50:57.544,aa19,0.0,-0.0
2022-11-17 14:50:55.438,aa19,0.0,-0.0
2022-11-17 14:50:53.331,aa19,0.0,-0.0
2022-11-17 14:50:51.224,aa19,0.0,-0.0
2022-11-17 14:50:49.117,aa19,0.0,-0.0
2022-11-17 14:50:47.010,aa19,0.0,-0.0
2022-11-17 14:50:44.902,aa19,-0.0,-0.0
2022-11-17 14:50:42.794,aa19,0.0,-0.0
2022-11-17 14:50:40.686,aa19,0.0,-0.0
2022-11-17 14:50:38.579,aa19,0.0,-0.0
2022-11-17 14:50:36.471,aa19,0.0,-0.0
2022-11-17 14:50:34.364,aa19,0.0,-0.0
2022-11-17 14:50:32.257,aa19,0.0,-0.0
